model_name,fold_id,test_n,positive_n,negative_n,best_c,fixed_l1_ratio,precision,recall,specificity,f1,accuracy,roc_auc,brier,log_loss,tn,fp,fn,tp
combined_ridge,11,82,64,18,10.0,0.0,0.8378378378378378,0.96875,0.3333333333333333,0.8985507246376812,0.8292682926829268,0.8489583333333334,0.11268512679472938,0.36558991579039785,6,12,2,62
combined_ridge,12,81,64,17,3.0,0.0,0.855072463768116,0.921875,0.4117647058823529,0.8872180451127819,0.8148148148148148,0.8612132352941176,0.1169060344169452,0.3631516001759786,7,10,5,59
combined_ridge,13,81,64,17,3.0,0.0,0.8309859154929577,0.921875,0.29411764705882354,0.8740740740740741,0.7901234567901234,0.8207720588235294,0.14081959128680563,0.46755959711368505,5,12,5,59
combined_ridge,14,81,64,17,0.3,0.0,0.8857142857142857,0.96875,0.5294117647058824,0.9253731343283582,0.8765432098765432,0.8345588235294118,0.11701771718035954,0.38688751117170034,9,8,2,62
combined_ridge,15,81,63,18,3.0,0.0,0.896551724137931,0.8253968253968254,0.6666666666666666,0.859504132231405,0.7901234567901234,0.7733686067019401,0.1456434385165608,0.46217428182694376,12,6,11,52
combined_ridge,16,82,64,18,0.3,0.0,0.8169014084507042,0.90625,0.2777777777777778,0.8592592592592593,0.7682926829268293,0.8758680555555557,0.12414086894841224,0.37728577009136394,5,13,6,58
combined_ridge,17,81,64,17,3.0,0.0,0.8857142857142857,0.96875,0.5294117647058824,0.9253731343283582,0.8765432098765432,0.9338235294117647,0.0875618369213574,0.2835352110228676,9,8,2,62
combined_ridge,18,81,64,17,3.0,0.0,0.8428571428571429,0.921875,0.35294117647058826,0.8805970149253731,0.8024691358024691,0.7012867647058824,0.15451271241982548,0.5037017085071088,6,11,5,59
combined_ridge,19,81,64,17,30.0,0.0,0.8472222222222222,0.953125,0.35294117647058826,0.8970588235294118,0.8271604938271605,0.8740808823529411,0.12111262970257271,0.40037542342209126,6,11,3,61
combined_ridge,20,81,63,18,1.0,0.0,0.8656716417910447,0.9206349206349206,0.5,0.8923076923076924,0.8271604938271605,0.8298059964726632,0.12246336368522907,0.39174086774731876,9,9,5,58
combined_ridge,21,82,64,18,10.0,0.0,0.84,0.984375,0.3333333333333333,0.9064748201438849,0.8414634146341463,0.8263888888888888,0.11325651108923775,0.39051044446535277,6,12,1,63
combined_ridge,22,81,64,17,0.3,0.0,0.8181818181818182,0.984375,0.17647058823529413,0.8936170212765957,0.8148148148148148,0.7380514705882353,0.14735215967759133,0.4593528653100302,3,14,1,63
combined_ridge,23,81,64,17,10.0,0.0,0.8688524590163934,0.828125,0.5294117647058824,0.848,0.7654320987654321,0.8299632352941178,0.14381681895352116,0.44074609192948333,9,8,11,53
combined_ridge,24,81,64,17,3.0,0.0,0.8873239436619719,0.984375,0.5294117647058824,0.9333333333333333,0.8888888888888888,0.8584558823529411,0.10543350706141028,0.34756344783968374,9,8,1,63
combined_ridge,25,81,63,18,3.0,0.0,0.855072463768116,0.9365079365079365,0.4444444444444444,0.8939393939393939,0.8271604938271605,0.86331569664903,0.11845951586094929,0.3885847884008876,8,10,4,59
combined_ridge,26,82,64,18,10.0,0.0,0.9076923076923077,0.921875,0.6666666666666666,0.9147286821705426,0.8658536585365854,0.8532986111111112,0.1226637516570059,0.4123328074353017,12,6,5,59
combined_ridge,27,81,64,17,3.0,0.0,0.855072463768116,0.921875,0.4117647058823529,0.8872180451127819,0.8148148148148148,0.7867647058823529,0.13428406218780845,0.42476784789262756,7,10,5,59
